id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
A0CB959C078661DB5A0473639B41B285F5D87191,Izabela,,,Grzankowska,Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,Izabela Grzankowska,Izabela_Grzankowska_DYG,0000-0003-2278-8620
416E330A80EC174DFBD007C1D4BE4671B00A7092,Tomasz,,,Grzegorek,Akademia_Ignatianum_w_Krakowie,Tomasz Grzegorek,Tomasz_Grzegorek_drn,0000-0002-8317-4158
24101BB836EF7D0DF06487FB54BD1E21C0AF29EE,Tomasz,Adam,,Grzyb,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Tomasz Adam Grzyb,Tomasz_Adam_Grzyb_9i6,
F79834F74BBD98CABD0A372CCDB7CECA70B03C5F,Szczepan,,,Grzybowski,Uniwersytet_Jagielloński_w_Krakowie,Szczepan Grzybowski,Szczepan_Grzybowski_B0R,
39953780C6518843AC9902FEAC28530E645C1D52,Joanna,,,Grzymała-Moszczyńska,Uniwersytet_Jagielloński_w_Krakowie,Joanna Grzymała-Moszczyńska,Joanna_Grzymała-Moszczyńska_wF1,0000-0002-6845-0724
E45B3218415DF919937E2E871C9B2A50603744B9,Halina,,,Grzymała-Moszczyńska,Akademia_Ignatianum_w_Krakowie,Halina Grzymała-Moszczyńska,Halina_Grzymała-Moszczyńska_rMs,0000-0003-2751-3204
54D7011777A432139B6E841F70C03710AB8DE15E,Judyta,Edyta,,Gulatowska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu,Judyta Edyta Gulatowska,Judyta_Edyta_Gulatowska_jWD,
66B65209EF48354CA6E4F73AA50B9F73C800E2C9,Bożena,,,Gulla,Uniwersytet_Jagielloński_w_Krakowie,Bożena Gulla,Bożena_Gulla_Xcb,
A3967DDE78B7C2E8A6D1A6ED322A4ECF3883C044,Michał,,,Gusin,Wyższa_Szkoła_Bankowa_w_Toruniu,Michał Gusin,Michał_Gusin_nZO,
30283BA7812CC23C28397644C3DEA920D810644B,Małgorzata,Anna,,Gut,Uniwersytet_Mikołaja_Kopernika_w_Toruniu,Małgorzata Anna Gut,Małgorzata_Anna_Gut_d5n,0000-0001-6540-7192
